# V2.1 文件状态与哈希（可复现）

生成时刻：2026-09-18T11:48:20.518Z
git 快照来源：`logs/v21-git.txt`（由 shell 落盘，脚本不 spawn git）

## 1. Git

```text
HEAD      = c3391ef19942b568784562057c65b508b9e2aaef
HEAD 提交 = cache keys: 黄金向量 + 规范化序列化 + 碰撞防线（CACHE KEY GOLDEN VECTOR — PASS）
```

- 已修改（tracked）：**26**
- 未跟踪：**139**
- 其中**本轮 V2.1 新增**：**80**
- **接手前就有的既有工作**（未跟踪，未计入本轮）：**59**

> ⚠️ **这不是「干净 Git 基线」** —— 工作区带着既有未提交工作。
> 「基线」在本报告里的含义是「本节列出的具体文件 + 具体哈希」，不是「工作区干净」。

## 2. 已修改的 tracked 文件（sha256）

| 文件 | 字节 | sha256 | 本轮 V2.1 是否修改 |
|---|---|---|---|
| `CURRENT_PROJECT_STATUS.md` | 111539 | `93c7ef2a6cfa9a1b…` | 否（既有工作） |
| `data/artifact-manifest.json` | 63630 | `e4d00acbe9859365…` | 否（既有工作） |
| `src/app/alphaPipeline.ts` | 60000 | `26535e196733aa6d…` | 否（既有工作） |
| `src/app/decision/decisionEngine.ts` | 132333 | `1229f1c294906cb6…` | 否（既有工作） |
| `src/app/decision/postflopAdvisor.ts` | 42167 | `9fe6e11ec52bba8b…` | **是** |
| `src/app/manualInput/contextBuilder.ts` | 161125 | `5c1c24c47411095a…` | **是** |
| `src/app/manualInput/legalActions.ts` | 17434 | `4d93d6b9562401f3…` | 否（既有工作） |
| `src/app/manualInput/manualInput.ts` | 43700 | `e3696ad4a26961a1…` | **是** |
| `src/app/manualInput/rangeFacts.ts` | 11639 | `ec69c4e8525650ce…` | 否（既有工作） |
| `src/domain/decision/decision.types.ts` | 61341 | `7a572b550bbc3cf2…` | **是** |
| `src/domain/decision/decisionConsistency.ts` | 20078 | `6eeaf5085d645842…` | 否（既有工作） |
| `src/domain/postflop/boardDelta.ts` | 19686 | `d75e0304b140d743…` | 否（既有工作） |
| `src/domain/postflop/draws.ts` | 8872 | `61c7381175540e3a…` | 否（既有工作） |
| `src/domain/postflop/exploit.ts` | 8907 | `9fbdd4d7f25c99b7…` | 否（既有工作） |
| `src/domain/postflop/rangeCompression.ts` | 12449 | `e605841902864a28…` | 否（既有工作） |
| `src/domain/postflop/riverActionClass.ts` | 13349 | `53a89fd74e599417…` | 否（既有工作） |
| `src/domain/postflop/types.ts` | 12288 | `8bdcfaf832c01020…` | 否（既有工作） |
| `src/domain/postflop/valueBetGate.ts` | 25579 | `571b6af0e9ed621a…` | 否（既有工作） |
| `src/infra/artifactDefinitions.ts` | 51825 | `bfca03b3f6d6bc46…` | 否（既有工作） |
| `src/viewmodels/decisionViewModel.ts` | 56848 | `5a89bc1ae498cf1a…` | 否（既有工作） |
| `test/alphaRedteamRegression.test.ts` | 53665 | `5dcce9d55014af21…` | 否（既有工作） |
| `test/postflopModules.test.ts` | 31425 | `ce5537f785311d52…` | 否（既有工作） |
| `test/postflopOutput.test.ts` | 10251 | `adf0856203bcb646…` | 否（既有工作） |
| `test/postflopRangeFoundation.test.ts` | 16536 | `7bb539818c03315a…` | 否（既有工作） |
| `test/postflopRegressionCases.test.ts` | 21122 | `79d28f29fcf0f701…` | 否（既有工作） |
| `test/riverConsistency.test.ts` | 27228 | `a6fa5ee219ba4c47…` | 否（既有工作） |

## 3. 未跟踪文件（sha256）

### 3.1 本轮 V2.1 新增（脚本 / 报告 / 证据）

| 文件 | 字节 | sha256 |
|---|---|---|
| `reports/PROFILE_V21_SENSITIVITY_AUDIT.md` | 83858 | `b0a691279005151a…` |
| `reports/PROFILE_V21_SMALL_SCALE_AUDIT.md` | 38341 | `d08fcc6f566f0f84…` |
| `reports/V21_CHAIN_DISTANCE_PROBE_OUTPUT.txt` | 9580 | `af8f558d7b681c10…` |
| `reports/V21_CHAIN_GOLDEN_TEST_OUTPUT.txt` | 667 | `746a851c70ccdc1c…` |
| `reports/V21_CHAIN_PROFILE_PROBE_OUTPUT.txt` | 29955 | `68ca9efe6f84b23c…` |
| `reports/V21_FAILURE_MODE_AUDIT.md` | 66296 | `1fd5f06042019d84…` |
| `reports/V21_PRODUCTION_CHAIN_VERIFICATION.md` | 51205 | `d80c6d98325140e0…` |
| `reports/V21_REVIEW_1_STATISTICS.md` | 47939 | `445ef4b31101c03b…` |
| `reports/V21_REVIEW_2_POKER_LOGIC.md` | 37076 | `4b4356fc00d0b035…` |
| `reports/V21_REVIEW_3_PIPELINE.md` | 33110 | `dcf17f5c37a52086…` |
| `reports/V21_REVIEW_4_NUMERICS.md` | 44037 | `3c934cc350e23fda…` |
| `reports/V21_REVIEW_5_COUNTEREVIDENCE.md` | 49625 | `349eaffc51afe70c…` |
| `reports/V21_RISK_REGISTER.md` | 18612 | `12cad961e1beef96…` |
| `reports/evidence/v21-decision-impact.json` | 57619 | `eaf968bc97a4249b…` |
| `reports/evidence/v21-defect-evidence-after.txt` | 3391 | `ef9b9d5769e5276e…` |
| `reports/evidence/v21-defect-evidence-before.txt` | 2572 | `295c8b4794fe46e3…` |
| `reports/evidence/v21-fmaudit-dedup.out.txt` | 1246 | `bf51ec9a35c470c5…` |
| `reports/evidence/v21-fmaudit-golden-test.out.txt` | 668 | `f77af5926a6b4e4c…` |
| `reports/evidence/v21-fmaudit-model.out.txt` | 12292 | `049cf0f2db5ce744…` |
| `reports/evidence/v21-fmaudit-noise-sweep.out.txt` | 6503 | `ef1ad4065a17010c…` |
| `reports/evidence/v21-fmaudit-noise.out.txt` | 7283 | `88293a0d86708c15…` |
| `reports/evidence/v21-fmaudit-pipeline.out.txt` | 30830 | `3d0ea123a5113320…` |
| `reports/evidence/v21-fmaudit-rangeprofile-test.out.txt` | 1467 | `57743df8948909dc…` |
| `reports/evidence/v21-fmaudit-seven-handed.out.txt` | 785 | `4260cd8807cf42b6…` |
| `reports/evidence/v21-profile-sensitivity.json` | 2099838 | `0d0f5956c67431d4…` |
| `reports/evidence/v21-repro-state.txt` | 0 | `e3b0c44298fc1c14…` |
| `reports/evidence/v21-rev5-adversarial-BEFORE.out.txt` | 13218 | `59a306b285bed67f…` |
| `reports/evidence/v21-rev5-adversarial.out.txt` | 13927 | `039568f18e17b879…` |
| `reports/evidence/v21-rev5-limp-parity.out.txt` | 1419 | `f702f9b07b9d910a…` |
| `reports/evidence/v21-rev5-parity.out.txt` | 6236 | `2b49682c3f3f3747…` |
| `reports/evidence/v21-rev5-slots-BEFORE.out.txt` | 4711 | `f98b912bf4f474e7…` |
| `reports/evidence/v21-rev5-slots.out.txt` | 4711 | `f98b912bf4f474e7…` |
| `reports/evidence/v21-summary.md` | 14366 | `fa9d41b5c7bde99d…` |
| `reports/evidence/v21-supplement.out.txt` | 14096 | `3e53b4339530cc58…` |
| `scripts/v21-chain-distance-probe.ts` | 19921 | `44480b337e3f0c83…` |
| `scripts/v21-chain-profile-probe.ts` | 25161 | `1bde03aeb166e158…` |
